full_name,short_name,garbage_tariff
Республика Адыгея,АДЫГ,76.93
Республика Алтай,АЛТА,51.77
Алтайский край,АЛКР,60.35
Амурская область,АМУР,183.6
Архангельская область,АРХА,120
Астраханская область,АСТР,89.71
Республика Башкортостан,БАШК,71
Белгородская область,БЕЛГ,93.57
Брянская область,БРЯН,80.03
Республика Бурятия,БУРЯ,67.76
Владимирская область,ВЛАД,109.97
Волгоградская область,ВОЛГ,105.91
Вологодская область,ВОЛО,114.91
Воронежская область,ВОРО,132.88
Республика Дагестан,ДАГЕ,53.21
Еврейская автономная область,ЕВРЕ,
Забайкальский край,ЗАБА,77.72
Ивановская область,ИВАН,92.93
Иркутская область,ИРКУ,97.61
Кабардино-Балкарская Республика,КАБА,60.77
Калининградская область,КАЛИ,81.43
Калужская область,КАЛУ,248.06
Камчатский край,КАМЧ,91.39
Карачаево-Черкесская Республика,КАРА,93.28
Кемеровская область,КЕМЕ,57.43
Кировская область,КИРО,185.19
Костромская область,КОСТ,99.26
Краснодарский край,КРСД,97.8
Красноярский край,КРАС,79.74
Курганская область,КУРГ,88.95
Курская область,КУРС,85.59
Ленинградская область,ЛЕНИ,285.13
Липецкая область,ЛИПЕ,83.7
Магаданская область,МАГА,58.98
Республика Марий Эл,МАРИ,74.83
Москва,МСКВ,297.59
Московская область,МОСК,298.82
Мурманская область,МУРМ,128.55
Ненецкий автономный округ,НЕНЕ,115.27
Нижегородская область,НИЖЕ,272.46
Новгородская область,НОВГ,87.45
Новосибирская область,НОВО,59.88
Омская область,ОМСК,74.06
Оренбургская область,ОРЕН,75.27
Орловская область,ОРЛО,72.73
Пензенская область,ПЕНЗ,171.44
Пермский край,ПЕРМ,72.86
Приморский край,ПРИМ,65.2
Псковская область,ПСКО,89.28
Республика Ингушетия,ИНГУ,84.04
Республика Калмыкия,КАЛМ,97.62
Республика Карелия,КАРЕ,95.48
Республика Коми,КОМИ,120.28
Республика Крым,КРЫМ,56.19
Республика Мордовия,МОРД,76.24
Республика Саха (Якутия),САХА,88.41
Республика Хакасия,ХАКА,41.92
Ростовская область,РОСТ,109.3
Рязанская область,РЯЗА,93.13
Самарская область,САМА,117.14
Санкт-Петербург,САНК,140.28
Саратовская область,САРА,193.12
Сахалинская область,СХЛН,70
Свердловская область,СВЕР,101.05
Севастополь,СЕВА,89.96
Республика Северная Осетия - Алания,ОСЕТ,54.95
Смоленская область,СМОЛ,89.46
Ставропольский край,СТАВ,124.3
Тамбовская область,ТАМБ,109.8
Республика Татарстан,ТАТА,86.34
Тверская область,ТВЕР,87.89
Томская область,ТОМС,53.59
Тульская область,ТУЛЬ,107.56
Республика Тыва,ТЫВА,65.59
Тюменская область,ТЮМЕ,136.01
Удмуртская Республика,УДМУ,98.39
Ульяновская область,УЛЬЯ,113.99
Хабаровский край,ХАБА,
Ханты-Мансийский автономный округ – Югра,ХАНТ,126.3
Челябинская область,ЧЕЛЯ,81.84
Чеченская Республика,ЧЕЧЕ,64.28
Чувашская Республика,ЧУВА,63.15
Чукотский автономный округ,ЧУКО,80.05
Ямало-Ненецкий автономный округ,ЯМАЛ,150
Ярославская область,ЯРОС,93.54
