full_name,short_name,garbage_tariff
Республика Адыгея,АДЫГ,230.78
Республика Алтай,АЛТА,155.32
Алтайский край,АЛКР,181.05
Амурская область,АМУР,183.6
Архангельская область,АРХА,360
Астраханская область,АСТР,269.14
Республика Башкортостан,БАШК,213
Белгородская область,БЕЛГ,280.71
Брянская область,БРЯН,240.08
Республика Бурятия,БУРЯ,203.28
Владимирская область,ВЛАД,329.91
Волгоградская область,ВОЛГ,317.73
Вологодская область,ВОЛО,344.74
Воронежская область,ВОРО,398.65
Республика Дагестан,ДАГЕ,159.63
Еврейская автономная область,ЕВРЕ,
Забайкальский край,ЗАБА,233.16
Ивановская область,ИВАН,278.79
Иркутская область,ИРКУ,292.82
Кабардино-Балкарская Республика,КАБА,182.31
Калининградская область,КАЛИ,244.29
Калужская область,КАЛУ,248.06
Камчатский край,КАМЧ,274.18
Карачаево-Черкесская Республика,КАРА,271.13
Кемеровская область,КЕМЕ,172.28
Кировская область,КИРО,185.19
Костромская область,КОСТ,297.78
Краснодарский край,КРСД,293.4
Красноярский край,КРАС,239.23
Курганская область,КУРГ,266.84
Курская область,КУРС,256.77
Ленинградская область,ЛЕНИ,285.13
Липецкая область,ЛИПЕ,251.11
Магаданская область,МАГА,176.94
Республика Марий Эл,МАРИ,224.48
Москва,МСКВ,297.59
Московская область,МОСК,391.56
Мурманская область,МУРМ,385.64
Ненецкий автономный округ,НЕНЕ,345.81
Нижегородская область,НИЖЕ,272.46
Новгородская область,НОВГ,262.35
Новосибирская область,НОВО,179.64
Омская область,ОМСК,222.18
Оренбургская область,ОРЕН,225.81
Орловская область,ОРЛО,218.18
Пензенская область,ПЕНЗ,171.44
Пермский край,ПЕРМ,218.58
Приморский край,ПРИМ,195.84
Псковская область,ПСКО,267.83
Республика Ингушетия,ИНГУ,252.13
Республика Калмыкия,КАЛМ,130.56
Республика Карелия,КАРЕ,286.44
Республика Коми,КОМИ,360.84
Республика Крым,КРЫМ,168.56
Республика Мордовия,МОРД,228.71
Республика Саха (Якутия),САХА,265.23
Республика Хакасия,ХАКА,125.75
Ростовская область,РОСТ,327.89
Рязанская область,РЯЗА,279.39
Самарская область,САМА,351.42
Санкт-Петербург,САНК,420.84
Саратовская область,САРА,193.12
Сахалинская область,СХЛН,210
Свердловская область,СВЕР,303.15
Севастополь,СЕВА,269.89
Республика Северная Осетия - Алания,ОСЕТ,164.84
Смоленская область,СМОЛ,268.38
Ставропольский край,СТАВ,372.9
Тамбовская область,ТАМБ,329.4
Республика Татарстан,ТАТА,259.02
Тверская область,ТВЕР,263.67
Томская область,ТОМС,160.77
Тульская область,ТУЛЬ,322.69
Республика Тыва,ТЫВА,196.78
Тюменская область,ТЮМЕ,408.03
Удмуртская Республика,УДМУ,295.17
Ульяновская область,УЛЬЯ,341.96
Хабаровский край,ХАБА,
Ханты-Мансийский автономный округ – Югра,ХАНТ,379.02
Челябинская область,ЧЕЛЯ,245.52
Чеченская Республика,ЧЕЧЕ,192.84
Чувашская Республика,ЧУВА,189.44
Чукотский автономный округ,ЧУКО,240.16
Ямало-Ненецкий автономный округ,ЯМАЛ,450.01
Ярославская область,ЯРОС,280.62
